Name,Description,Website
Precursor Ventures,Synonymous with conviction at day zero,Precursor Ventures
Bee Partners,"Early believers in technical, often first-time founders",Bee Partners
Work-Bench,"B2B focused, but will jump in before there's a product",Work-Bench
Unusual Ventures,Built an entire platform around helping “zero to one”,Unusual Ventures
Afore Capital,"No metrics, no problem — pre-everything is their thing",Afore Capital
Zero Prime Ventures,Day-one checks for technical founders in AI/devtools,Zero Prime Ventures
Notation Capital,"NYC-based, true believers in the “idea stage” bet",Notation Capital
Banana Capital,Solo GP fund backing consumer and frontier founders pre-everything,Banana Capital
Next Wave NYC,Builders of Iconic New York Companies backing the next generation of startups.,Next Wave NYC
