Name,Website,Country,Coverage,Sector,Type
Gainsborough Feasibility Fund,https://www.west-lindsey.gov.uk/communities-safety/grants-funding,England,"West Lindsey District, Lincolnshire",,
Gigabit Broadband Voucher Scheme,https://gigabitvoucher.culture.gov.uk/,UK,National,,General
Grants4Growth,http://grants4growth.sholland.gov.uk/,England,"South Holland, Lincolnshire, England",Training,
Fly High Start-Up & Enterprise grant,https://www.stoke.gov.uk/info/20012/business/625/fly_high_start-up_and_enterprise_grant,England,"Stoke-on-Trent, Staffordshire",Grant,
Business Lincolnshire AI Adoption Accelerator,https://www.businesslincolnshire.com/start-and-grow-my-business/grant-and-support-finder/business-lincolnshire-ai-adoption-accelerator/,England,Lincolnshire County,Training,
Growth Deal,https://www.gov.uk/government/publications/cornwall-and-isles-of-scilly-growth-deal,England,Isles of Scilly,,
Growth Deal Funding,https://www.gov.uk/government/publications/black-country-growth-deal,England,Black Country,,
Growth Grants,https://bbf.uk.com/business-support/growth-programme,England,Buckinghamshire,Training,
Growth Lancashire,https://www.growthlancashire.co.uk/business-support-funding/business-advice/,England,"Ribble Valley Borough, Lancashire",,
Horizon 2020,https://www.ukri.org/apply-for-funding/horizon-europe/,UK,National,,General
Independent Retailer Grant,http://www.testvalley.gov.uk/business/businessgrantsandsupport/grantsandfunding/independent-retailer-grant,England,"Andover and Romsey, Hampshire",,
Innovation Programme,https://www.coventry.gov.uk/innovation,England,Warwickshire,,
Innovation Programme for Greater Lincolnshire,https://lincsinnovation.co.uk/,England,Lincolnshire County,,
Innovative Medicines Initiative (IMI),https://www.ihi.europa.eu/about-imi,UK,National,,Health
Internment Subsidies for Employers,https://www.exeter.ac.uk/careers/employment-services/recruit/internships/subsidies/,England,Exeter,,
Invest and Grow,https://www.greaterlincolnshirelep.co.uk/funding-and-projects/other-funding/invest-grow/,England,Lincolnshire,,
Invest to Grow,https://www.derby.ac.uk/business-services/access-to-funding-invest-to-grow/,England,Derbyshire,,
Invest to Grow (internships),https://www.keele.ac.uk/internships/,England,Keele,,
Investment Fund,https://www.coventry.gov.uk/investmentfund,England,Warwickshire,,
Let's Grow Programme,http://www.be-group.co.uk/services/commercial-development-programmes/lets-grow-north-east-yorkshire/,England,East and North Yorkshire,,
Decarbonisation Net Zero Programme,https://www.coventry.gov.uk/decarbonisation-net-zero-programme-coventry/decarbonisation-net-zero-programme-coventry-info/3,England,Warwickshire,,
Net Zero business support and funding advice,https://bbf.uk.com/net-zero-ngage/,England,"Black Country, Buckinghamshire, Hertfordshire",,
Malvern Hills Business Start-Up Grant,https://www.malvernhills.gov.uk/business/grants-and-funding,England,"Malvern Hills District Council, Worcestershire County",Grant,
New Anglia Small Grants Scheme,http://www.newangliagrowthhub.co.uk/,England,Norfolk and Suffolk,Training,
New Enterprise Allowance,https://www.gov.uk/moving-from-benefits-to-work/starting-your-own-business,UK,National,,New business
North East Business Support Fund,https://nebsf.co.uk/,England,Northeast,,
Northern Powerhouse Investment Fund,https://www.npif.co.uk/,England,"Yorkshire, Humber and Tees Valley",,
Patent Box Relief,https://www.gov.uk/guidance/corporation-tax-the-patent-box,UK,National,,Patent exploitation
Power to Change funding,https://www.powertochange.org.uk/get-support/programmes/,England,National,,
Princes Trust Grants,https://www.princes-trust.org.uk/help-for-young-people/get-funding-train-learn,England,South of England,,General
Big Innovation Grant,https://www.investni.com/,Northern Ireland,National,,
ReAct for businesses,https://www.flintshire.gov.uk/en/Business/Advice-and-guidance/Funding-your-business.aspx,Wales,Flintshire County,,
Regional Selective Assistance,https://www.scottish-enterprise.com/support-for-businesses/funding-and-grants/growing-your-business/regional-selective-assistance-grant,Scotland,National,Grant,
Seed Enterprise Investment Scheme (SEIS),https://www.gov.uk/guidance/venture-capital-schemes-apply-to-use-the-seed-enterprise-investment-scheme,UK,National,,General
Skills Advancement Grant,https://www.nibusinessinfo.co.uk/business-support/skills-advancement-grant,Northern Ireland,National,Grant,
Smart Concept Fund,https://www.wlv.ac.uk/business-services/funding-and-support/the-smart-concept-fund/,England,Wolverhampton,Grant,
Start-up funding,https://worcestershiregrowthhub.co.uk/,England,"Wychavon District, Worcestershire",,
Startup Grant West Dunbartonshire,http://www.west-dunbarton.gov.uk/business/grant-and-loan/business-start-up-grant/,England,"Barrow-in-Furness Borough, Cumbria",Grant,
The Prince's Countryside Fund,http://www.princescountrysidefund.org.uk/grant-giving-programme/grant-programme,UK,National (rural),,General
Business Transition to Net Zero Grant,https://newanglia.co.uk/grant/business-transition-to-net-zero-grant/,UK,Norfolk and Suffolk,,Grant
Growth Through Innovation Fund,https://www.startupmag.co.uk/dashboard/business-grants/#,UK,New Anglia,,Grant
Start and Grow York,https://momentic.co.uk/start-and-grow-york/,UK,York,,Training
StriveLive Inubator,https://ynygrowthhub.com/events/strive-live-start-up-incubator-2024-25/,UK,York,,Training
Shop front improvement grant,https://www.leicester.gov.uk/business/start-up-and-growth/invest-in-leicester/shop-front-improvement-grant/,UK,Leicester,,Grant
Loughborough BID Business Support Programme,https://loveloughborough.co.uk/love-bid/business-support-hub/,UK,Loughborough,,Training
Social Awards,https://www.unltd.org.uk/awards,UK,National,,Competition
Invest To Grow Funding,https://www.derby.ac.uk/business-services/funding/access-to-funding/,UK,East Midlands,,Grant
Small Grant Scheme,https://www.nwleics.gov.uk/pages/grants,UK,Leicestershire,,Grant
Shop Front Improvement Scheme,https://www.investow.co.uk/shop-front-improvement-scheme,UK,Oadby and Wigston Borough,,Grant
EIC Accelerator,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,UK,National,,Grant
