ID,Name,Website,Country,City,Type,Apply ,Linkedin,Twitter,Team01Name,Team01Linkedin,Team02Name,Team02Linkedin,Team03Name,Team03Linkedin,Team04Name,Team04Linkedin,Team05Name,Team05Linkedin,Team06Name,Team06Linkedin,Team07Name,Team07Linkedin,Team08Name,Team08Linkedin,Team09Name,Team09Linkedin,Team10Name,Team10Linkedin,Team11Name,Team11Linkedin
29,Minerva Business Angel Network,https://minerva.uk.net/,UK,Coventry,Angel syndicate,https://minerva.uk.net/entrepreneurs/,https://www.linkedin.com/company/minerva-business-angels/,https://twitter.com/minervaangels,,,,,,,,,,,,,,,,,,,,,,
30,Newable Private Investing,https://newable.co.uk/,UK,London,Angel network,https://newable.co.uk/applying-for-investment/,https://www.linkedin.com/company/15222947?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A15222947%2Cidx%3A2-3-4%2CtarId%3A1477919143019%2Ctas%3Anewab,https://twitter.com/newable,Chris Manson,https://www.linkedin.com/in/chris-manson-0a415510/,Monica Whitefield,https://www.linkedin.com/in/monicawhitefield/,Joanne Baker,https://www.linkedin.com/in/joanne-baker-ab8b1178/,Peter Barrand,https://www.linkedin.com/in/peter-barrand-04709610/,Malcolm Cohen,https://www.linkedin.com/in/malcolmcohen/,Azim Hosein,https://www.linkedin.com/in/azim-hosein-9a6a9b23/,Ketevan Moseshvili,Phil Reynolds,https://www.linkedin.com/in/philipreynolds/,Guy Nicholso,https://www.linkedin.com/in/guy-nicholson-7583942b/,Jack Hopkins,https://www.linkedin.com/in/jack-hopkins-037ba915/,Angus MacLennan,https://www.linkedin.com/in/angus-maclennan-2b75b514/,
31,North Invest,https://northinvest.co.uk/,UK,Manchester,Angel network,https://northinvest.co.uk/raise/,https://www.linkedin.com/company/north-invest-ltd/,https://www.linkedin.com/in/mattcooling/,Matt Cooling,https://www.linkedin.com/in/stuartbrown01/,Stuart Brown,https://www.linkedin.com/in/helen-oldham-46aa8324/,Helen Oldham,https://www.linkedin.com/in/jordan-dargue-59438433/,Jordan Dargue,https://www.linkedin.com/in/pennycoulthard/,Penny Coulthard,https://www.linkedin.com/in/james-prickett/,James Prickett,https://www.linkedin.com/in/james-prickett/,,,,,,,,,,
32,Oxford Investment Opportunity Network,https://www.oion.co.uk/,UK,Oxford,Angel network,https://www.oion.co.uk/companies/company-registration,https://www.linkedin.com/company/oxford-innovation/,https://twitter.com/OION_TVIN_OEI,Jens Tholstrup,https://www.linkedin.com/in/jenstholstrup/,Richard Cooper,https://www.linkedin.com/in/richardjacooper/,Eileen Modral FRSA,https://www.linkedin.com/in/eileenmodral/,,,,,,,,,,,,,,,,
33,Par Equity,https://www.parequity.com/,UK,Edinburgh,Angel network,https://cms.parequity.com/apply,https://www.linkedin.com/company/parequity/,https://www.linkedin.com/in/paul-atkinson-52413a/,Paul Atkinson,https://www.linkedin.com/in/andrew-castell-8150bb11/,Andrew Castell,https://www.linkedin.com/in/clairecramm/,Claire Cramm,https://www.linkedin.com/in/tom-croy/,Tom Croy,https://www.linkedin.com/in/robert-higginson-80794/,Robert Higginson,https://www.linkedin.com/in/aidan-macmillan-14610735/,Aidan MacMillan,https://www.linkedin.com/in/aidan-macmillan-14610735/,Andrew Noble,Paul Munn,https://www.linkedin.com/in/paul-munn-307b01/,,,,,,,
34,S100 Club,https://www.surrey100club.co.uk/,UK,Surrey,Angel network,https://www.surrey100club.co.uk/contact-us,https://www.linkedin.com/company/surrey-100-club/,https://www.linkedin.com/in/chriskuchanny/,Chris Kuchanny,https://www.linkedin.com/in/damiancavanagh/,Damian Cavanagh,https://www.linkedin.com/in/jimmonks/,Jim Monks,https://www.linkedin.com/in/plcowley/,Peter Cowley,https://www.linkedin.com/in/trevorjones555/,Trevor Jones,https://www.linkedin.com/in/mblakey/,Michael Blakey,https://www.linkedin.com/in/mblakey/,David Garofalo,Richard Bednarek,https://www.linkedin.com/in/richard-bednarek/,,,,,,,
35,Surrey Investors Club,http://surreyinvestorsclub.org.uk/,UK,Surrey,Angel syndicate,https://surrey-research-park.com/s100-angel-investment-club/,https://www.linkedin.com/company/surrey-investors/about/,https://www.linkedin.com/in/simonhulme/,Simon Hulme,https://www.linkedin.com/in/tim-de-vere-green-7a616a/,Tim de Vere Green,,,,,,,,,,,,,,,,,,,
36,Tripcapital,https://www.tricapital.co.uk/,UK,Melrose,Angel syndicate,https://tricapital.co.uk/the-investment-process/,https://www.linkedin.com/company/tricapital/,https://www.linkedin.com/in/carolyn-c-murray/,Carolyn (Park) Murray,https://www.linkedin.com/in/jamie-andrew-18682a7/,Jamie Andrew,https://www.linkedin.com/in/kathy-kinder-6669b94/,Kathy (Greenwood) Kinder,,https://www.linkedin.com/in/kathy-kinder-6669b94/,,,,,,,,,,,,,,,
37,Wren Capital,https://www.wrencapital.co.uk/,UK,London,Angel network,,https://www.linkedin.com/company/wren-capital-llp/about/,https://www.linkedin.com/in/rajat-malhotra-wrencapital/,Rajat Malhotra,,,,,,,,,,,,,,,,,,,,,
38,InvestingWomen,https://www.investingwomen.co.uk/,UK,Scotland,Angel network,https://www.investingwomen.co.uk/pitch/,,,,,,,,,,,,,,,,,,,,,,,,
39,Pringle Capital,https://www.pringlecapital.com/,UK,London,Angel network,https://www.pringlecapital.com/contact,https://www.linkedin.com/company/pringlecapital/,,,,,,,,,,,,,,,,,,,,,,,
40,Science Angel Syndicate,https://www.scienceangelsyndicate.com/,UK,Nationwide,Angel syndicate,https://www.scienceangelsyndicate.com/apply-for-funding,https://www.linkedin.com/company/science-angel-syndicate/,https://twitter.com/SciAngelSyn,Ben Miles,https://www.linkedin.com/in/drbenmiles/,Johnathan Matlock,https://www.linkedin.com/in/johnathanmatlock/,,,,,,,,,,,,,,,,,,
41,Oxbridge Angels,https://oxbridgeangels.com/,UK,"Oxford, Cambridge",Angel network,,https://www.linkedin.com/company/oxbridge-angels/,,,,,,,,,,,,,,,,,,,,,,,
42,Hermesa,https://www.hermesa.co.uk/,UK,London,Angel network,https://www.hermesa.co.uk/entrepreneurs,https://www.linkedin.com/company/hermesa/,,,,,,,,,,,,,,,,,,,,,,,
43,Mainstream,https://www.michelmores.com/mainstream/,UK,South West,Angel network,https://www.michelmores.com/app/uploads/2023/10/MAINstream-Applicant-Submission-Form.pdf,https://www.linkedin.com/company/michelmores/,,,,,,,,,,,,,,,,,,,,,,,
44,Mint Ventures,https://www.mintventures.co.uk/,UK,Scotland,Angel network,https://www.mintventures.co.uk/entrepreneurs/,https://www.linkedin.com/company/mint-ventures/,,,,,,,,,,,,,,,,,,,,,,,
45,Angel Club RCA,https://www.rca.ac.uk/business/innovationrca/our-companies-our-design-impact-seis-fund-angelclubrca/,UK,London,Angel network,,,,,,,,,,,,,,,,,,,,,,,,,
46,Astia,https://www.astia.org/,UK,London,Angel network,https://astia.my.site.com/connect/s/raiseapplication,https://www.linkedin.com/company/astia/,,,,,,,,,,,,,,,,,,,,,,,
47,Advantage Business Angels,https://www.advantagebusinessangels.co.uk/,UK,West UK,Angel network,https://www.advantagebusinessangels.co.uk/entrepreneurs,https://www.linkedin.com/company/advantage-business-angels/about/,,,,,,,,,,,,,,,,,,,,,,,
48,Anglia Capital Group,https://www.angliacapitalgroup.co.uk/,UK,East Anglia,Angel network,https://www.angliacapitalgroup.co.uk/application-process,,,,,,,,,,,,,,,,,,,,,,,,
49,South East Angels,https://www.southeastangels.co.uk/,UK,South East,Angel network,https://www.southeastangels.co.uk/founders,https://www.linkedin.com/company/south-east-angels/,,,,,,,,,,,,,,,,,,,,,,,
50,Angel Academe,https://www.angelacademe.com/,UK,Scotland,Angel network,https://www.angelacademe.com/founders,https://www.linkedin.com/company/angel-academe/,,,,,,,,,,,,,,,,,,,,,,,
51,Apollo Informal Investment,https://www.apollo-informal-investment.com/,UK,Scotland,Angel network,https://www.apollo-informal-investment.com/seeking-investment,https://www.linkedin.com/company/apollo-informal-investments-limited/,,,,,,,,,,,,,,,,,,,,,,,
52,EOS Advisory,https://eos-advisory.com/,UK,Scotland,Angel network,https://eos-advisory.com/,https://www.linkedin.com/company/eos-deal-advisory/,,,,,,,,,,,,,,,,,,,,,,,
53,ESM Investments,http://www.esminvestments.co.uk/,UK,Scotland,Angel network,https://www.esminvestments.co.uk/seeking-investment-contact-form/,https://www.linkedin.com/company/esm-investments-limited/,,,,,,,,,,,,,,,,,,,,,,,
54,Kelvin Capital,https://www.kelvincapital.com/,UK,Scotland,Angel syndicate,https://www.kelvincapital.com/funding/,https://www.linkedin.com/company/kelvin-capital/,,,,,,,,,,,,,,,,,,,,,,,
55,Angel Investors Bristol,https://www.angelinvestorsbristol.co.uk/,UK,Bristol,Angel network,https://www.angelinvestorsbristol.co.uk/contact-us,https://www.linkedin.com/company/angel-investors-bristol/,https://www.linkedin.com/in/peterlockett1/,Peter Lockett,https://www.linkedin.com/in/peterlockett1/,,,,,,,,,,,,,,,,,,,,
56,Dragons Den,https://www.bbc.co.uk/programmes/articles/3D0rSm9tMLy9m9wJth7Fl7S/apply-to-enter-the-den,UK,Nationwide,Angel network,https://www.bbc.co.uk/programmes/articles/3D0rSm9tMLy9m9wJth7Fl7S/apply-to-enter-the-den,,,,,,,,,,,,,,,,,,,,,,,,
57,ACF,https://www.acfinvestors.com/angel-cofund/,UK,London,Angel Network,https://www.acfinvestors.com/angel-cofund/,https://www.linkedin.com/company/angel-cofund/,,,,,,,,,,,,,,,,,,,,,,,
58,Manchester Angels,https://www.manchesterangels.org/,UK,Manchester,Angel Network,https://www.manchesterangels.org/startups,https://www.linkedin.com/company/manchesterangels/,,,,,,,,,,,,,,,,,,,,,,,
59,Gateway Angels,https://gatewayangels.com/,UK,Liverpool,Angel Network,https://gatewayangels.com/application-process/,https://www.linkedin.com/company/gateway-angels/,https://x.com/gatewayangels,Katie Nicholson,https://www.linkedin.com/in/katienc/,,https://twitter.com/NicholsonK,,,,,,,,,,,,,,,,,,
