Additional Sources ,Count 
"INFINITY CAPITAL PARTNERS LLC Atlanta, GA",
"LETSON INVESTMENT MANAGEMENT INC Atlanta, GA",
"NICHOLAS HOFFMAN & CO Atlanta, GA",
"PATHSTONE FEDERAL STREET Atlanta, GA",
"PEACHCAP INC Atlanta, GA",
"PREMIS ADVISORS LLC Atlanta, GA",
"RONALD BLUE & CO. Atlanta, GA",
"SMITH & HOWARD Atlanta, GA",
"THE ARTHUR M. BLANK FAMILY FOUNDATION Atlanta, GA",
"TIDEWATER WEALTH ADVISORS LLC Savannah, GA",
"WARREN AVERETT ASSET MANAGEMENT Atlanta, GA",
HAWAII FAMILY OFFICES,
"LAULIMA FAMILY OFFICES Honolulu, HI",
"LUGEN FAMILY OFFICE Kelowna, HI",
IDAHO FAMILY OFFICES,
"BUFFINGTON MOHR MCNEAL Boise, ID",
"GRYPHON PRIVATE WEALTH MANAGEMENT Eagle, ID",
"THE CAPROCK GROUP Boise, ID",
ILLINOIS FAMILY OFFICES,
"ADVISORY PARTNERS LLC Chicago, IL",
"ARMORY CAPITAL LLC Champaign, IL",
"ASTRAEUS ADVISERS LLC Park Ridge, IL",
"HULL INVESTMENTS LLC Chicago, IL",
"LIBERTA FAMILY OFFICE SERVICES Chicago, IL",
"NAJARIAN FAMILY OFFICE LLC Chicago, IL",
"NEAL GERBER EISENBERG LLP Chicago, IL",
"OAK FAMILY ADVISORS LLC Chicago, IL",
"PROMUS CAPITAL LLC Chicago, IL",
"SCHWARTZ CAPITAL GROUP Chicago, IL",
"WHITNELL & CO Oak Brook, IL",
"WINDROCK WEALTH MANAGEMENT LLC Naperville, IL & Tucson, AZ",
INDIANA FAMILY OFFICES,
"CASTLE WEALTH ADVISORS LLC Indianapolis, IN",
"FALCON LEGACY LLC Indianapolis, IN",
"INDIE ASSET PARTNERS LLC Indianapolis, IN",
"LACY DIVERSIFIED INDUSTRIES LTD Indianapolis, IN",
"OXFORD FINANCIAL GROUP LTD Indianapolis, IN",
"PATOKA CAPITAL LLC New Albany, IN & Louisville, KY",
"SIMONS FAMILY OFFICE Indianapolis, IN",
"SPECTRUM WEALTH MANAGEMENT Indianapolis, IN",
"THE FI3 FAMILY OFFICE Indianapolis, IN",
"WEALTH STRATEGIES INC Muncie, IN",
IOWA FAMILY OFFICES,
"GENERATIONS WEALTH MANAGEMENT West Des Moines, IA",
"HJN ADVISORS LLP Des Moines, IA",
"LEGACY BRIDGE PRIVATE FAMILY OFFICES West Des Moines, IA",
"SILVERSTONE GROUP Council Bluffs, IA",
"VALIANT WEALTH LLC West Des Moines, IA",
KANSAS FAMILY OFFICES,
"FERRELL CAPITAL INC Leawood, KS",
"MIDWEST TRUST Overland Park, KS",
"SUNRISE ADVISORS Leawood, KS",
KENTUCKY FAMILY OFFICES,
"ATLAS BROWN FAMILY WEALTH MANAGEMENT Louisville, KY",
"JONES, NALE & MATTINGLY PLC Louisville, KY",
LOUISIANA FAMILY OFFICES,
"ARGENT FINANCIAL GROUP   Ruston, LA",
"CALLAIS CAPITAL MANAGEMENT LLC Thibodaux, LA",
MAINE FAMILY OFFICES,
"ATLANTIC TRUST Portland, ME",
"BLACK POINT CAPITAL MANAGEMENT Portland, ME",
"STARBOARD ADVISORS LLC Portland, ME",
MARYLAND FAMILY OFFICES,
"ANSACO LLC Bethesda, MD",
"BATOFF ASSOCIATES Baltimore, MD",
"EAGLESTONE TAX & WEALTH ADVISORS Rockville, MD",
"MARYLAND CAPITAL ADVISORS Chester, MD",
"VERDENCE CAPITAL ADVISORS Hunt Valley, MD",
MASSACHUSETTS FAMILY OFFICES,
"ANTAEUS WEALTH ADVISORS Boxborough, MA",
"BALLENTINE PARTNERS Wolfeboro, MA",
"BANYAN GLOBAL INC Boston, MA",
"BEAMONTE INVESTMENTS Boston, MA",
"BLUE HAVEN INITIATIVE LLC Boston, MA",
"BLUMSHAPIRO Boston, MA",
"BOSTON FAMILY OFFICE LLC Boston, MA",
"DAINTREE ADVISORS LLC Boston, MA",
"JDJ FAMILY OFFICE SERVICE Boston, MA",
"MCCULLEN CAPITAL LLC Boston, MA",
"OSBON CAPITAL MANAGEMENT LLC Boston, MA",
"PAUL MCCOY FAMILY OFFICES LLP Boston, MA",
"STREAMLINE FAMILY OFFICES INC Dover, MA",
"TRILLIUM ASSET MANAGEMENT LLC Boston, MA & San Francisco, CA & Portland, OR",
"TWIN FOCUS CAPITAL PARTNERS LLC Boston, MA",
MICHIGAN FAMILY OFFICES,
"42 NORTH PARTNERS Grand Rapids, MI",
"ARROWROOT FAMILY OFFICE Rochester Hills, MI",
"FOUNDATIONS ENDOWMENTS FAMILY OFFICES West Michigan, MI",
"GREY DUNES Grand Rapids, MI",
"HANTZ GROUP Ann Arbor, MI",
"MFO MANAGEMENT COMPANY Flint, MI & Birmingham, MI",
"MITCHELL FAMILY OFFICE Birmingham, MI",
"NAVIGANT OAK LLC Northville, MI",
"NORTHERN TRUST Grand Rapids, MI",
